Date,State,Positive,Negative,Recovered,Date_Checked,Death,Hospitalized,Total_Test_Results,Death_Increase,Hospitalized_Increase,Negative_Increase,Positive_Increase,Total_Test_Results_Increase
20200422,MN,2721,46623,1317.0,2020-04-22T20:00:00Z,179.0,660.0,49344,19.0,31.0,1493.0,154.0,1647.0
20200421,MN,2567,45130,1254.0,2020-04-21T20:00:00Z,160.0,629.0,47697,17.0,27.0,750.0,97.0,847.0
20200420,MN,2470,44380,1202.0,2020-04-20T20:00:00Z,143.0,602.0,46850,9.0,28.0,1020.0,114.0,1134.0
20200419,MN,2356,43360,1160.0,2020-04-19T20:00:00Z,134.0,574.0,45716,13.0,13.0,1305.0,143.0,1448.0
20200418,MN,2213,42055,1118.0,2020-04-18T20:00:00Z,121.0,561.0,44268,10.0,43.0,1073.0,142.0,1215.0
20200417,MN,2071,40982,1066.0,2020-04-17T20:00:00Z,111.0,518.0,43053,17.0,43.0,1219.0,159.0,1378.0
20200416,MN,1912,39763,1020.0,2020-04-16T20:00:00Z,94.0,475.0,41675,7.0,30.0,1330.0,103.0,1433.0
20200415,MN,1809,38433,940.0,2020-04-15T20:00:00Z,87.0,445.0,40242,8.0,40.0,887.0,114.0,1001.0
20200414,MN,1695,37546,909.0,2020-04-14T20:00:00Z,79.0,405.0,39241,9.0,44.0,769.0,45.0,814.0
20200413,MN,1650,36777,842.0,2020-04-13T20:00:00Z,70.0,361.0,38427,0.0,0.0,977.0,29.0,1006.0
20200412,MN,1621,35800,842.0,2020-04-12T20:00:00Z,70.0,361.0,37421,6.0,21.0,1823.0,194.0,2017.0
20200411,MN,1427,33977,793.0,2020-04-11T20:00:00Z,64.0,340.0,35404,7.0,23.0,1419.0,91.0,1510.0
20200410,MN,1336,32558,732.0,2020-04-10T20:00:00Z,57.0,317.0,33894,7.0,24.0,1506.0,94.0,1600.0
20200409,MN,1242,31052,675.0,2020-04-09T20:00:00Z,50.0,293.0,32294,11.0,22.0,1453.0,88.0,1541.0
20200408,MN,1154,29599,632.0,2020-04-08T20:00:00Z,39.0,271.0,30753,5.0,29.0,1408.0,85.0,1493.0
20200407,MN,1069,28191,549.0,2020-04-07T20:00:00Z,34.0,242.0,29260,4.0,19.0,1049.0,83.0,1132.0
20200406,MN,986,27142,470.0,2020-04-06T20:00:00Z,30.0,223.0,28128,1.0,21.0,1300.0,51.0,1351.0
20200405,MN,935,25842,451.0,2020-04-05T20:00:00Z,29.0,202.0,26777,5.0,22.0,1284.0,70.0,1354.0
20200404,MN,865,24558,440.0,2020-04-04T20:00:00Z,24.0,180.0,25423,2.0,24.0,1120.0,76.0,1196.0
20200403,MN,789,23438,,2020-04-03T20:00:00Z,22.0,156.0,24227,4.0,18.0,1786.0,47.0,1833.0
20200402,MN,742,21652,,2020-04-02T20:00:00Z,18.0,138.0,22394,1.0,16.0,1150.0,53.0,1203.0
20200401,MN,689,20502,,2020-04-01T20:00:00Z,17.0,122.0,21191,5.0,10.0,1351.0,60.0,1411.0
20200331,MN,629,19151,,2020-03-31T20:00:00Z,12.0,112.0,19780,2.0,20.0,905.0,53.0,958.0
20200330,MN,576,18246,,2020-03-30T20:00:00Z,10.0,92.0,18822,1.0,17.0,1092.0,73.0,1165.0
20200329,MN,503,17154,252.0,2020-03-29T20:00:00Z,9.0,75.0,17657,4.0,18.0,1466.0,62.0,1528.0
20200328,MN,441,15688,220.0,2020-03-28T20:00:00Z,5.0,57.0,16129,1.0,6.0,2083.0,43.0,2126.0
20200327,MN,398,13605,180.0,2020-03-27T20:00:00Z,4.0,51.0,14003,2.0,10.0,1001.0,52.0,1053.0
20200326,MN,346,12604,,2020-03-26T20:00:00Z,2.0,41.0,12950,1.0,6.0,1416.0,59.0,1475.0
20200325,MN,287,11188,122.0,2020-03-25T20:00:00Z,1.0,35.0,11475,0.0,14.0,5638.0,25.0,5663.0
20200324,MN,262,5550,,2020-03-24T20:00:00Z,1.0,21.0,5812,0.0,4.0,1039.0,27.0,1066.0
20200323,MN,235,4511,,2020-03-23T20:00:00Z,1.0,17.0,4746,0.0,5.0,0.0,66.0,66.0
20200322,MN,169,4511,,2020-03-22T20:00:00Z,1.0,12.0,4680,0.0,12.0,559.0,31.0,590.0
20200321,MN,138,3952,,2020-03-21T20:00:00Z,1.0,,4090,1.0,0.0,211.0,23.0,234.0
20200320,MN,115,3741,,2020-03-20T20:00:00Z,,,3856,0.0,0.0,792.0,26.0,818.0
20200319,MN,89,2949,,2020-03-19T20:00:00Z,,,3038,0.0,0.0,264.0,12.0,276.0
20200318,MN,77,2685,,2020-03-18T20:00:00Z,,,2762,0.0,0.0,409.0,17.0,426.0
20200317,MN,60,2276,,2020-03-17T20:00:00Z,,,2336,0.0,0.0,437.0,6.0,443.0
20200316,MN,54,1839,,2020-03-16T20:00:00Z,,,1893,0.0,0.0,452.0,19.0,471.0
20200315,MN,35,1387,,2020-03-15T20:00:00Z,,,1422,0.0,0.0,540.0,14.0,554.0
20200314,MN,21,847,,2020-03-14T20:00:00Z,,,868,0.0,0.0,306.0,7.0,313.0
20200313,MN,14,541,,2020-03-13T20:00:00Z,,,555,0.0,0.0,234.0,5.0,239.0
20200312,MN,9,307,,2020-03-12T20:00:00Z,,,316,0.0,0.0,90.0,4.0,94.0
20200311,MN,5,217,,2020-03-11T20:00:00Z,,,222,0.0,0.0,85.0,2.0,87.0
20200310,MN,3,132,,2020-03-10T20:00:00Z,,,135,0.0,0.0,52.0,1.0,53.0
20200309,MN,2,80,,2020-03-09T20:00:00Z,,,82,0.0,0.0,32.0,1.0,33.0
20200308,MN,1,48,,2020-03-08T20:00:00Z,,,49,0.0,0.0,0.0,0.0,0.0
20200307,MN,1,48,,2020-03-07T21:00:00Z,,,49,0.0,0.0,12.0,1.0,13.0
20200306,MN,0,36,,2020-03-06T21:00:00Z,,,36,,,,,
