Population,County,State
47086.0,Washington,Mississippi
12028.0,Perry,Mississippi
8321.0,Choctaw,Mississippi
23480.0,Itawamba,Mississippi
10129.0,Carroll,Mississippi
21278.0,Grenada,Mississippi
7346.0,Jefferson,Mississippi
13714.0,Greene,Mississippi
35787.0,Marshall,Mississippi
7372.0,Quitman,Mississippi
32592.0,Bolivar,Mississippi
61223.0,Lamar,Mississippi
84915.0,Lee,Mississippi
39737.0,Pike,Mississippi
14361.0,Tallahatchie,Mississippi
16063.0,Smith,Mississippi
18375.0,Stone,Mississippi
47075.0,Warren,Mississippi
15928.0,Clarke,Mississippi
10107.0,Kemper,Mississippi
10198.0,Montgomery,Mississippi
49481.0,Oktibbeha,Mississippi
55149.0,Pearl River,Mississippi
22870.0,Leake,Mississippi
10828.0,Noxubee,Mississippi
29376.0,Neshoba,Mississippi
151240.0,Rankin,Mississippi
28493.0,Tate,Mississippi
12630.0,Lawrence,Mississippi
34243.0,Panola,Mississippi
12421.0,Yalobusha,Mississippi
17279.0,Chickasaw,Mississippi
28721.0,Copiah,Mississippi
23710.0,George,Mississippi
241774.0,Hinds,Mississippi
21524.0,Newton,Mississippi
28356.0,Union,Mississippi
4511.0,Sharkey,Mississippi
21990.0,Tippah,Mississippi
75517.0,Forrest,Mississippi
46653.0,Hancock,Mississippi
53459.0,Lafayette,Mississippi
1328.0,Issaquena,Mississippi
59437.0,Lowndes,Mississippi
29804.0,Leflore,Mississippi
8990.0,Wilkinson,Mississippi
202626.0,Harrison,Mississippi
11495.0,Jefferson Davis,Mississippi
34432.0,Lincoln,Mississippi
28415.0,Scott,Mississippi
18358.0,Winston,Mississippi
27974.0,Yazoo,Mississippi
8253.0,Benton,Mississippi
7757.0,Franklin,Mississippi
16529.0,Jasper,Mississippi
68454.0,Jones,Mississippi
35840.0,Monroe,Mississippi
26532.0,Sunflower,Mississippi
9828.0,Webster,Mississippi
31547.0,Adams,Mississippi
19808.0,Clay,Mississippi
19091.0,Covington,Mississippi
8539.0,Humphreys,Mississippi
23102.0,Saline,Missouri
12205.0,Madison,Missouri
18293.0,Wright,Missouri
20691.0,Vernon,Missouri
22547.0,Nodaway,Missouri
7546.0,Chariton,Missouri
10039.0,Grundy,Missouri
20137.0,Morgan,Missouri
13308.0,Wayne,Missouri
12281.0,Bollinger,Missouri
78324.0,Cape Girardeau,Missouri
6061.0,Shelby,Missouri
38082.0,Webster,Missouri
5270.0,Atchison,Missouri
16374.0,Bates,Missouri
18989.0,Benton,Missouri
6197.0,Carter,Missouri
7590.0,Dade,Missouri
12186.0,Linn,Missouri
40102.0,Howell,Missouri
53689.0,Johnson,Missouri
35507.0,Laclede,Missouri
8884.0,Maries,Missouri
44789.0,Phelps,Missouri
98824.0,Platte,Missouri
66342.0,St. Francois,Missouri
17403.0,Andrew,Missouri
8843.0,Carroll,Missouri
8302.0,Daviess,Missouri
3951.0,Knox,Missouri
28672.0,Marion,Missouri
13619.0,Osage,Missouri
13693.0,Ripley,Missouri
33908.0,Warren,Missouri
25735.0,Audrain,Missouri
84275.0,Christian,Missouri
288429.0,Greene,Missouri
8554.0,Harrison,Missouri
9383.0,St. Clair,Missouri
25325.0,Adair,Missouri
4898.0,Scotland,Missouri
6317.0,Sullivan,Missouri
6800.0,Clark,Missouri
223302.0,Jefferson,Missouri
10027.0,Lewis,Missouri
17811.0,New Madrid,Missouri
19146.0,Perry,Missouri
10217.0,Ralls,Missouri
22825.0,Ray,Missouri
998684.0,St. Louis,Missouri
31527.0,Stone,Missouri
35493.0,Barry,Missouri
176515.0,Boone,Missouri
13938.0,Cedar,Missouri
24280.0,Crawford,Missouri
10221.0,Iron,Missouri
15076.0,Livingston,Missouri
15958.0,Moniteau,Missouri
10699.0,Oregon,Missouri
30428.0,Dunklin,Missouri
42371.0,Pettis,Missouri
17871.0,Ste. Genevieve,Missouri
24945.0,Randolph,Missouri
102781.0,Franklin,Missouri
10113.0,Howard,Missouri
692003.0,Jackson,Missouri
25049.0,Miller,Missouri
52591.0,Pulaski,Missouri
4815.0,Putnam,Missouri
54720.0,Taney,Missouri
25671.0,Texas,Missouri
89076.0,Buchanan,Missouri
9049.0,Caldwell,Missouri
44840.0,Callaway,Missouri
102678.0,Cass,Missouri
20475.0,Clinton,Missouri
17622.0,Cooper,Missouri
16499.0,Dallas,Missouri
6665.0,Gentry,Missouri
9368.0,Hickory,Missouri
55563.0,Lincoln,Missouri
13748.0,Mississippi,Missouri
8654.0,Monroe,Missouri
58202.0,Newton,Missouri
9236.0,Ozark,Missouri
18489.0,Pike,Missouri
389985.0,St. Charles,Missouri
11845.0,Custer,Montana
16439.0,Hill,Montana
1619.0,Powder River,Montana
16246.0,Park,Montana
11228.0,Roosevelt,Montana
6727.0,Blaine,Montana
2280.0,Liberty,Montana
11360.0,Richland,Montana
6080.0,Teton,Montana
4976.0,Toole,Montana
2838.0,Fallon,Montana
1753.0,Daniels,Montana
1951.0,Judith Basin,Montana
34814.0,Silver Bow,Montana
9100.0,Deer Lodge,Montana
11778.0,Jefferson,Montana
1630.0,McCone,Montana
2149.0,Wheatland,Montana
9250.0,Rosebud,Montana
1318.0,Carter,Montana
9191.0,Dawson,Montana
5834.0,Broadwater,Montana
29774.0,Lake,Montana
6044.0,Pondera,Montana
157816.0,Yellowstone,Montana
41902.0,Ravalli,Montana
7532.0,Valley,Montana
11273.0,Fergus,Montana
4211.0,Mineral,Montana
432.0,Petroleum,Montana
11521.0,Sanders,Montana
98082.0,Flathead,Montana
1175.0,Wibaux,Montana
1968.0,Meagher,Montana
10546.0,Carbon,Montana
4124.0,Phillips,Montana
31583.0,Adams,Nebraska
310094.0,Lancaster,Nebraska
5313.0,Boone,Nebraska
1350.0,Rock,Nebraska
696.0,Banner,Nebraska
3042.0,Sherman,Nebraska
8009.0,Richardson,Nebraska
6405.0,Howard,Nebraska
10245.0,Holt,Nebraska
4786.0,Furnas,Nebraska
2015.0,Gosper,Nebraska
14288.0,Saline,Nebraska
178351.0,Sarpy,Nebraska
7140.0,Thurston,Nebraska
20219.0,Washington,Nebraska
2042.0,Boyd,Nebraska
5790.0,Cherry,Nebraska
36683.0,Dodge,Nebraska
5574.0,Fillmore,Nebraska
1860.0,Garden,Nebraska
691.0,Hooker,Nebraska
4841.0,Morrill,Nebraska
7004.0,Nemaha,Nebraska
17127.0,Seward,Nebraska
645.0,Thomas,Nebraska
20317.0,Dakota,Nebraska
3571.0,Webster,Nebraska
6372.0,Antelope,Nebraska
8067.0,Butler,Nebraska
6232.0,Clay,Nebraska
10830.0,Custer,Nebraska
21595.0,Gage,Nebraska
9178.0,Hamilton,Nebraska
6552.0,Kearney,Nebraska
8099.0,Keith,Nebraska
35164.0,Madison,Nebraska
2907.0,Perkins,Nebraska
21024.0,Saunders,Nebraska
9367.0,Wayne,Nebraska
792.0,Keya Paha,Nebraska
8460.0,Knox,Nebraska
35433.0,Lincoln,Nebraska
7157.0,Pierce,Nebraska
1266.0,Sioux,Nebraska
25702.0,Cass,Nebraska
5746.0,Dixon,Nebraska
2023.0,Dundy,Nebraska
2410.0,Greeley,Nebraska
61343.0,Hall,Nebraska
15896.0,Otoe,Nebraska
10806.0,Red Willow,Nebraska
8896.0,Dawes,Nebraska
9852.0,Cheyenne,Nebraska
23804.0,Dawson,Nebraska
4224.0,Valley,Nebraska
454.0,McPherson,Nebraska
3554.0,Nance,Nebraska
5992.0,Stanton,Nebraska
3438.0,Harlan,Nebraska
480.0,Blaine,Nebraska
49030.0,Buffalo,Nebraska
1894.0,Deuel,Nebraska
2843.0,Hitchcock,Nebraska
33063.0,Platte,Nebraska
5098.0,Thayer,Nebraska
11089.0,Box Butte,Nebraska
24010.0,Churchill,Nevada
47828.0,Douglas,Nevada
6611.0,Pershing,Nevada
981.0,Esmeralda,Nevada
16904.0,Humboldt,Nevada
4448.0,Mineral,Nevada
9737.0,White Pine,Nevada
52252.0,Elko,Nevada
5174.0,Lincoln,Nevada
43705.0,Nye,Nevada
3941.0,Storey,Nevada
450486.0,Washoe,Nevada
2141574.0,Clark,Nevada
54467.0,Carson City,Nevada
53155.0,Lyon,Nevada
76263.0,Cheshire,New Hampshire
149452.0,Merrimack,New Hampshire
89811.0,Grafton,New Hampshire
305129.0,Rockingham,New Hampshire
60640.0,Belknap,New Hampshire
43125.0,Sullivan,New Hampshire
411087.0,Hillsborough,New Hampshire
128237.0,Strafford,New Hampshire
32038.0,Coos,New Hampshire
47840.0,Carroll,New Hampshire
623387.0,Monmouth,New Jersey
142298.0,Sussex,New Jersey
153400.0,Cumberland,New Jersey
793555.0,Essex,New Jersey
591939.0,Ocean,New Jersey
290852.0,Gloucester,New Jersey
63336.0,Salem,New Jersey
504041.0,Passaic,New Jersey
507367.0,Camden,New Jersey
929999.0,Bergen,New Jersey
106293.0,Warren,New Jersey
668631.0,Hudson,New Jersey
446367.0,Burlington,New Jersey
494383.0,Morris,New Jersey
39307.0,Rio Arriba,New Mexico
28034.0,San Miguel,New Mexico
15595.0,Torrance,New Mexico
65745.0,Otero,New Mexico
26978.0,Cibola,New Mexico
4382.0,Guadalupe,New Mexico
3539.0,Catron,New Mexico
28061.0,Grant,New Mexico
24264.0,Luna,New Mexico
72849.0,McKinley,New Mexico
32888.0,Taos,New Mexico
12353.0,Colfax,New Mexico
57437.0,Eddy,New Mexico
4563.0,Mora,New Mexico
8373.0,Quay,New Mexico
19482.0,Lincoln,New Mexico
70126.0,Lea,New Mexico
148917.0,Santa Fe,New Mexico
11135.0,Sierra,New Mexico
17000.0,Socorro,New Mexico
215338.0,Do�a Ana,New Mexico
31364.0,Schoharie,New York
464242.0,Onondaga,New York
80794.0,Clinton,New York
34612.0,Seneca,New York
99070.0,Putnam,New York
50692.0,Franklin,New York
109472.0,Ontario,New York
2298513.0,Queens,New York
96927.0,Steuben,New York
4575.0,Hamilton,New York
61828.0,Washington,New York
129656.0,Chautauqua,New York
2600747.0,Kings,New York
1632480.0,New York,New York
49045.0,Tioga,New York
77868.0,Cayuga,New York
41175.0,Orleans,New York
227377.0,Saratoga,New York
323686.0,Rockland,New York
60919.0,Columbia,New York
26719.0,Lewis,New York
211704.0,Niagara,New York
968815.0,Westchester,New York
45502.0,Delaware,New York
37751.0,Essex,New York
49426.0,Montgomery,New York
1356564.0,Nassau,New York
474101.0,Richmond,New York
17992.0,Schuyler,New York
102962.0,Tompkins,New York
48348.0,Chenango,New York
48123.0,Cortland,New York
114448.0,Jefferson,New York
230782.0,Oneida,New York
1487901.0,Suffolk,New York
40565.0,Wyoming,New York
85740.0,Chemung,New York
119104.0,Oswego,New York
60244.0,Otsego,New York
90856.0,Wayne,New York
307426.0,Albany,New York
194402.0,Broome,New York
919866.0,Erie,New York
71359.0,Madison,New York
75211.0,Sullivan,New York
15040.0,Mitchell,North Carolina
58112.0,Genesee,New York
378227.0,Orange,New York
21008.0,Greene,North Carolina
14205.0,Chowan,North Carolina
81779.0,Caldwell,North Carolina
156729.0,Catawba,North Carolina
103082.0,Craven,North Carolina
53332.0,Edgecombe,North Carolina
130361.0,Harnett,North Carolina
113625.0,Henderson,North Carolina
5393.0,Hyde,North Carolina
1054314.0,Mecklenburg,North Carolina
20186.0,Northampton,North Carolina
139605.0,Rowan,North Carolina
44482.0,Vance,North Carolina
25796.0,Currituck,North Carolina
226694.0,Union,North Carolina
371573.0,Forsyth,North Carolina
94003.0,Nash,North Carolina
33778.0,Bladen,North Carolina
35741.0,Dare,North Carolina
20033.0,Warren,North Carolina
81336.0,Wilson,North Carolina
19644.0,Bertie,North Carolina
11563.0,Gates,North Carolina
8557.0,Graham,North Carolina
23054.0,Martin,North Carolina
21405.0,Madison,North Carolina
12742.0,Pamlico,North Carolina
13459.0,Perquimans,North Carolina
20458.0,Polk,North Carolina
142958.0,Randolph,North Carolina
91270.0,Rockingham,North Carolina
45905.0,Stokes,North Carolina
12156.0,Washington,North Carolina
10447.0,Camden,North Carolina
10813.0,Clay,North Carolina
332106.0,Cumberland,North Carolina
216585.0,Gaston,North Carolina
523582.0,Guilford,North Carolina
42256.0,Jackson,North Carolina
95629.0,Moore,North Carolina
133442.0,Robeson,North Carolina
61114.0,Stanly,North Carolina
1046558.0,Wake,North Carolina
17667.0,Yancey,North Carolina
69791.0,Chatham,North Carolina
45109.0,McDowell,North Carolina
191172.0,Johnston,North Carolina
9695.0,Jones,North Carolina
39305.0,Person,North Carolina
126860.0,Brunswick,North Carolina
26786.0,Ashe,North Carolina
47243.0,Beaufort,North Carolina
57227.0,Lenoir,North Carolina
66532.0,Rutherford,North Carolina
81441.0,Lincoln,North Carolina
193912.0,Onslow,North Carolina
142938.0,Orange,North Carolina
63561.0,Sampson,North Carolina
37665.0,Yadkin,North Carolina
17501.0,Avery,North Carolina
89712.0,Burke,North Carolina
22746.0,Caswell,North Carolina
41991.0,Davie,North Carolina
59062.0,Duplin,North Carolina
306457.0,Durham,North Carolina
60125.0,Lee,North Carolina
224231.0,New Hanover,North Carolina
124002.0,Wayne,North Carolina
35262.0,Scotland,North Carolina
51737.0,Halifax,North Carolina
160576.0,Alamance,North Carolina
2213.0,Burke,North Dakota
10152.0,Mountrail,North Dakota
34061.0,Williams,North Dakota
946.0,Billings,North Dakota
2460.0,Kidder,North Dakota
3824.0,Cavalier,North Dakota
2380.0,Grant,North Dakota
7016.0,Pembina,North Dakota
1910.0,Steele,North Dakota
2576.0,Hettinger,North Dakota
4100.0,LaMoure,North Dakota
30544.0,Morton,North Dakota
174202.0,Cass,North Dakota
4387.0,Dunn,North Dakota
3352.0,Emmons,North Dakota
2654.0,McIntosh,North Dakota
2920.0,Nelson,North Dakota
16288.0,Richland,North Dakota
14603.0,Rolette,North Dakota
10802.0,Walsh,North Dakota
2351.0,Adams,North Dakota
6589.0,Bottineau,North Dakota
10836.0,Barnes,North Dakota
2313.0,Eddy,North Dakota
70400.0,Grand Forks,North Dakota
12536.0,McKenzie,North Dakota
8570.0,Mercer,North Dakota
9608.0,McLean,North Dakota
4210.0,Pierce,North Dakota
5361.0,Ransom,North Dakota
4413.0,Sioux,North Dakota
3195.0,Bowman,North Dakota
1882.0,Golden Valley,North Dakota
1927.0,Logan,North Dakota
2246.0,Towner,North Dakota
21064.0,Stutsman,North Dakota
2369.0,Divide,North Dakota
3290.0,Foster,North Dakota
3883.0,Sargent,North Dakota
704.0,Slope,North Dakota
30876.0,Stark,North Dakota
30195.0,Gallia,Ohio
58457.0,Huron,Ohio
65936.0,Athens,Ohio
27878.0,Adams,Ohio
177257.0,Medina,Ohio
55654.0,Union,Ohio
38864.0,Champaign,Ohio
18872.0,Paulding,Ohio
165811.0,Greene,Ohio
1275333.0,Franklin,Ohio
65344.0,Marion,Ohio
14702.0,Morgan,Ohio
116208.0,Wayne,Ohio
22107.0,Wyandot,Ohio
378294.0,Butler,Ohio
15307.0,Harrison,Ohio
61215.0,Knox,Ohio
121324.0,Richland,Ohio
13111.0,Vinton,Ohio
75690.0,Hancock,Ohio
152910.0,Fairfield,Ohio
38279.0,Defiance,Ohio
27316.0,Henry,Ohio
66886.0,Jefferson,Ohio
33969.0,Putnam,Ohio
41896.0,Clinton,Ohio
28645.0,Fayette,Ohio
57420.0,Pickaway,Ohio
45307.0,Logan,Ohio
541810.0,Summit,Ohio
59299.0,Sandusky,Ohio
48797.0,Shelby,Ohio
11372.0,Cottonwood,Minnesota
143372.0,Scott,Minnesota
20582.0,Dodge,Minnesota
21500.0,Wabasha,Minnesota
9185.0,Pipestone,Minnesota
63855.0,Crow Wing,Minnesota
6559.0,Norman,Minnesota
132745.0,Wright,Minnesota
33783.0,Nicollet,Minnesota
37203.0,Douglas,Minnesota
5938.0,Grant,Minnesota
4337.0,Kittson,Minnesota
27983.0,Le Sueur,Minnesota
5506.0,Mahnomen,Minnesota
54727.0,Chisago,Minnesota
15331.0,Redwood,Minnesota
9868.0,Yellow Medicine,Minnesota
24440.0,Todd,Minnesota
46117.0,Beltrami,Minnesota
66322.0,Blue Earth,Minnesota
18663.0,Houston,Minnesota
6773.0,Lac qui Parle,Minnesota
3809.0,Lake of the Woods,Minnesota
57992.0,Otter Tail,Minnesota
18809.0,Waseca,Minnesota
200080.0,St. Louis,Minnesota
347431.0,Anoka,Minnesota
156819.0,Stearns,Minnesota
5707.0,Lincoln,Minnesota
9392.0,Marshall,Minnesota
25728.0,Mille Lacs,Minnesota
253317.0,Washington,Minnesota
35540.0,Carlton,Minnesota
16004.0,Kanabec,Minnesota
12644.0,Koochiching,Minnesota
4008.0,Red Lake,Minnesota
32949.0,Morrison,Minnesota
65765.0,Rice,Minnesota
36676.0,Steele,Minnesota
15834.0,Aitkin,Minnesota
13896.0,Faribault,Minnesota
8353.0,Murray,Minnesota
42658.0,Kandiyohi,Minnesota
10569.0,Lake,Minnesota
9413.0,Rock,Minnesota
14912.0,Sibley,Minnesota
3337.0,Traverse,Minnesota
33773.0,Becker,Minnesota
1235478.0,Hennepin,Minnesota
25211.0,Brown,Minnesota
12010.0,Chippewa,Minnesota
8812.0,Clearwater,Minnesota
20862.0,Hubbard,Minnesota
38974.0,Isanti,Minnesota
19964.0,Martin,Minnesota
39602.0,Mower,Minnesota
29129.0,Pine,Minnesota
153065.0,Olmsted,Minnesota
13646.0,Wadena,Minnesota
39779.0,Benton,Minnesota
30526.0,Freeborn,Minnesota
35825.0,McLeod,Minnesota
10980.0,Pope,Minnesota
9784.0,Stevens,Minnesota
9411.0,Swift,Minnesota
18075.0,Holmes,Mississippi
12468.0,Amite,Mississippi
14571.0,Calhoun,Mississippi
19478.0,Tishomingo,Mississippi
20422.0,Wayne,Mississippi
29565.0,Austin,Texas
595.0,Kenedy,Texas
360486.0,Nueces,Texas
21022.0,Colorado,Texas
67046.0,San Patricio,Texas
11473.0,Rains,Texas
132475.0,Randall,Texas
3389.0,Real,Texas
5962.0,San Saba,Texas
3061.0,Schleicher,Texas
1141.0,Sterling,Texas
12131.0,Zavala,Texas
21807.0,Calhoun,Texas
6032.0,Carson,Texas
1408.0,Foard,Texas
19709.0,Freestone,Texas
7531.0,Goliad,Texas
8269.0,Hamilton,Texas
3952.0,Hardeman,Texas
8558.0,Mitchell,Texas
1546.0,Briscoe,Texas
19941.0,Lavaca,Texas
12615.0,Terry,Texas
2234.0,Jeff Davis,Texas
272053.0,Webb,Texas
5282.0,Jim Hogg,Texas
554445.0,Montgomery,Texas
7243.0,Dallam,Texas
1916.0,Armstrong,Texas
7787.0,Castro,Texas
31425.0,Kleberg,Texas
21754.0,Willacy,Texas
5861.0,Crosby,Texas
3883.0,Fisher,Texas
11355.0,Duval,Texas
11279.0,Blanco,Texas
35504.0,Jasper,Texas
3675.0,Kinney,Texas
18899.0,Deaf Smith,Texas
327089.0,Galveston,Texas
7409.0,La Salle,Texas
885.0,Roberts,Texas
21496.0,Tyler,Texas
5482.0,Wheeler,Texas
93858.0,Bowie,Texas
9216.0,Brewster,Texas
749.0,Kent,Texas
225015.0,Smith,Texas
3633.0,Crockett,Texas
56379.0,Hardin,Texas
36667.0,Howard,Texas
17098.0,Leon,Texas
19409.0,Montague,Texas
23440.0,Panola,Texas
12733.0,Millard,Utah
160537.0,Washington,Utah
7350.0,Kane,Utah
9616.0,Grand,Utah
2350.0,Rich,Utah
30523.0,Wasatch,Utah
53001.0,Box Elder,Utah
49691.0,Iron,Utah
21118.0,Sevier,Utah
247731.0,Weber,Utah
20219.0,Duchesne,Utah
15281.0,San Juan,Utah
1120805.0,Salt Lake,Utah
36323.0,Uintah,Utah
612.0,Daggett,Utah
340621.0,Davis,Utah
2694.0,Wayne,Utah
20356.0,Carbon,Utah
10248.0,Emery,Utah
11391.0,Morgan,Utah
122336.0,Cache,Utah
5017.0,Garfield,Utah
10948.0,Juab,Utah
59273.0,Rutland,Vermont
26911.0,Orleans,Vermont
6965.0,Grand Isle,Vermont
28937.0,Orange,Vermont
162052.0,Chittenden,Vermont
25268.0,Lamoille,Vermont
55427.0,Windsor,Vermont
30425.0,Caledonia,Vermont
42080.0,Tazewell,Virginia
43150.0,Windham,Vermont
36939.0,Addison,Vermont
58477.0,Washington,Vermont
14067.0,Falls Church city,Virginia
16423.0,Manassas Park city,Virginia
12039.0,Poquoson city,Virginia
11486.0,Sussex,Virginia
21926.0,Waynesboro city,Virginia
99621.0,Roanoke city,Virginia
25519.0,Salem city,Virginia
245592.0,Norfolk city,Virginia
12095.0,Charlotte,Virginia
1143529.0,Fairfax,Virginia
11659.0,Greensville,Virginia
74153.0,James City,Virginia
27408.0,Russell,Virginia
31059.0,Smyth,Virginia
7110.0,Lexington city,Virginia
55170.0,Campbell,Virginia
51588.0,Henry,Virginia
25890.0,King George,Virginia
10804.0,Lancaster,Virginia
24134.0,Lee,Virginia
8796.0,Mathews,Virginia
10700.0,Middlesex,Virginia
37894.0,Prince George,Virginia
79444.0,Rockingham,Virginia
22009.0,Scott,Virginia
6600.0,Surry,Virginia
15577.0,Appomattox,Virginia
56233.0,Franklin,Virginia
7052.0,King and Queen,Virginia
97997.0,Montgomery,Virginia
21103.0,New Kent,Virginia
9786.0,Cumberland,Virginia
22482.0,Goochland,Virginia
34779.0,Halifax,Virginia
13139.0,Madison,Virginia
456749.0,Prince William,Virginia
17939.0,Southampton,Virginia
2214.0,Highland,Virginia
16665.0,Brunswick,Virginia
30184.0,Caroline,Virginia
37161.0,Gloucester,Virginia
11957.0,Northampton,Virginia
17859.0,Patrick,Virginia
28574.0,Powhatan,Virginia
22509.0,Rockbridge,Virginia
43045.0,Shenandoah,Virginia
69115.0,Fauquier,Virginia
6995.0,Charles City,Virginia
50450.0,Culpeper,Virginia
28308.0,Dinwiddie,Virginia
19410.0,Greene,Virginia
104449.0,Hanover,Virginia
12278.0,Lunenburg,Virginia
35612.0,Orange,Virginia
53391.0,Harrisonburg city,Virginia
5381.0,Emporia city,Virginia
28940.0,Wythe,Virginia
237820.0,Chesapeake city,Virginia
106355.0,Albemarle,Virginia
77908.0,Bedford,Virginia
33222.0,Botetourt,Virginia
39025.0,Wise,Virginia
16843.0,Bristol city,Virginia
95311.0,Portsmouth city,Virginia
14788.0,Williamsburg city,Virginia
15286.0,Alleghany,Virginia
29738.0,Carroll,Virginia
54406.0,Washington,Virginia
12223.0,Northumberland,Virginia
23749.0,Page,Virginia
39449.0,Warren,Virginia
156505.0,Alexandria city,Virginia
28469.0,Fredericksburg city,Virginia
135583.0,Hampton city,Virginia
231803.0,Arlington,Virginia
22408.0,Hopewell city,Virginia
22138.0,Buchanan,Virginia
85153.0,Frederick,Virginia
144012.0,Stafford,Virginia
67587.0,York,Virginia
223787.0,Richmond city,Virginia
14812.0,Nelson,Virginia
61676.0,Pittsylvania,Virginia
3990.0,Norton city,Virginia
26282.0,Fluvanna,Virginia
12854.0,Amelia,Virginia
27789.0,Winchester city,Virginia
32742.0,Accomack,Virginia
15666.0,Floyd,Virginia
15811.0,Grayson,Virginia
15500.0,Nottoway,Virginia
68209.0,Harrison,West Virginia
42547.0,Ohio,West Virginia
7396.0,Calhoun,West Virginia
17624.0,Morgan,West Virginia
76232.0,Raleigh,West Virginia
14282.0,Braxton,West Virginia
16730.0,Barbour,West Virginia
19217.0,McDowell,West Virginia
40708.0,Wayne,West Virginia
21711.0,Wyoming,West Virginia
29018.0,Jackson,West Virginia
60486.0,Mercer,West Virginia
24605.0,Upshur,West Virginia
8518.0,Webster,West Virginia
113495.0,Berkeley,West Virginia
44126.0,Fayette,West Virginia
11641.0,Grant,West Virginia
23363.0,Hampshire,West Virginia
13018.0,Summers,West Virginia
22772.0,Brooke,West Virginia
8536.0,Doddridge,West Virginia
27278.0,Mineral,West Virginia
35347.0,Greenbrier,West Virginia
13842.0,Hardy,West Virginia
56497.0,Marion,West Virginia
24741.0,Mingo,West Virginia
29680.0,Hancock,West Virginia
16276.0,Lewis,West Virginia
25324.0,Nicholas,West Virginia
8531.0,Pocahontas,West Virginia
8909.0,Tyler,West Virginia
29065.0,Randolph,West Virginia
16951.0,Taylor,West Virginia
5797.0,Wirt,West Virginia
8785.0,Clay,West Virginia
8205.0,Gilmer,West Virginia
105252.0,Monongalia,West Virginia
13467.0,Monroe,West Virginia
15614.0,Wetzel,West Virginia
95318.0,Cabell,West Virginia
185710.0,Kanawha,West Virginia
7056.0,Pendleton,West Virginia
